doc,utterance,speaker,query,result,adj_text,adj_semtag,adj_semdesc
SN64,111,S0588,that 's ADJ - dd1,that 's different,different,A6:1,Comparing:- Similar/different
SN64,521,S0588,that 's ADJ - dd1,that 's good,good,A5:1,Evaluation:- Good/bad
SN64,577,S0588,that 's ADJ - dd1,that 's strange,strange,A6:2,Comparing:- Usual/unusual 
SN64,691,S0588,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SN64,834,S0588,that 's ADJ - dd1,that 's ridiculous,ridiculous,S1:2:6,Sensible
SN64,835,S0590,that 's ADJ - dd1,that 's ridiculous,ridiculous,S1:2:6,Sensible
SN64,854,S0588,that 's ADJ - dd1,that 's ridiculous,ridiculous,S1:2:6,Sensible
SN64,980,S0588,that 's ADJ - dd1,that 's atrocious,atrocious,A5:1,Evaluation:- Good/bad
SN64,1208,S0590,that 's ADJ - dd1,that 's alright,alright,A5:1,Evaluation:- Good/bad
SN64,1300,S0588,that 's ADJ - dd1,that 's amazing,amazing,O4:2,Judgement of appearance (pretty etc.)
SN64,1413,S0590,that 's ADJ - dd1,that 's fine,fine,A5:1,Evaluation:- Good/bad
SN64,1448,S0588,that 's ADJ - dd1,that 's nice,nice,O4:2,Judgement of appearance (pretty etc.)
SN64,1521,S0589,that 's ADJ - dd1,that 's weird,weird,A6:2,Comparing:- Usual/unusual 
SN64,1547,S0590,that 's ADJ - dd1,that 's correct,correct,A5:3,Evaluation:- Accuracy
SN64,1750,S0590,that 's ADJ - dd1,that 's wrong,wrong,A5:3,Evaluation:- Accuracy
SN64,1751,S0589,that 's ADJ - dd1,that 's correct,correct,A5:3,Evaluation:- Accuracy
SN64,1967,S0590,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SN64,1972,S0588,that 's ADJ - dd1,that 's good,good,A5:1,Evaluation:- Good/bad
SN64,2051,S0590,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SN64,2377,S0588,that 's ADJ - dd1,that 's past,past,T1:1:1,Time: General: Past
SN64,2402,S0590,that 's ADJ - dd1,that 's double,double,N5,Quantities
SN64,2504,S0590,that 's ADJ - dd1,that 's brilliant,brilliant,A5:1,Evaluation:- Good/bad
SL8N,37,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,64,S0008,that 's ADJ - dd1,that 's true,true,A5:2,Evaluation:- True/false
SL8N,99,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,171,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,193,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,195,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,203,S0013,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,210,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,220,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,227,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,233,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,274,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,304,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,320,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,332,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,344,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,358,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,383,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,384,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,387,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,394,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,419,S0013,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,432,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,450,S0012,that 's ADJ - dd1,that 's only,only,A14,Exclusivizers/particularizers
SL8N,473,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,479,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,492,S0012,that 's ADJ - dd1,that 's good,good,A5:1,Evaluation:- Good/bad
SL8N,558,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,606,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,665,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,671,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,681,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,687,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,704,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,723,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,725,S0012,that 's ADJ - dd1,that 's brilliant,brilliant,A5:1,Evaluation:- Good/bad
SL8N,755,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,757,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,761,S0012,that 's ADJ - dd1,that 's heavy,heavy,N3:5,Measurement: Weight
SL8N,767,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,777,S0012,that 's ADJ - dd1,that 's fantastic,fantastic,A5:1,Evaluation:- Good/bad
SL8N,778,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,785,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,789,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,822,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,839,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,846,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,861,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,889,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,912,S0013,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,932,S0012,that 's ADJ - dd1,that 's true,true,A5:2,Evaluation:- True/false
SL8N,936,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,938,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,952,S0012,that 's ADJ - dd1,that 's fantastic,fantastic,A5:1,Evaluation:- Good/bad
SL8N,958,S0012,that 's ADJ - dd1,that 's awful,awful,O4:2,Judgement of appearance (pretty etc.)
SL8N,1018,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1083,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1101,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1115,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1172,S0008,that 's ADJ - dd1,that 's nice,nice,O4:2,Judgement of appearance (pretty etc.)
SL8N,1172,S0008,that 's ADJ - dd1,that 's lovely,lovely,O4:2,Judgement of appearance (pretty etc.)
SL8N,1197,S0013,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1213,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1224,S0012,that 's ADJ - dd1,that 's terrible,terrible,A5:1,Evaluation:- Good/bad
SL8N,1226,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1282,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1305,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1318,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1330,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1366,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1388,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1391,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1408,S0012,that 's ADJ - dd1,that 's true,true,A5:2,Evaluation:- True/false
SL8N,1434,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1446,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1491,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1522,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1582,S0008,that 's ADJ - dd1,that 's alright,alright,A5:1,Evaluation:- Good/bad
SL8N,1685,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1709,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1834,S0012,that 's ADJ - dd1,that 's true,true,A5:2,Evaluation:- True/false
SL8N,1841,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1869,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1873,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1877,S0013,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1954,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,1959,S0013,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,2046,S0008,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,2508,S0012,that 's ADJ - dd1,that 's dead,dead,L1,Life and living things
SL8N,2536,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,2543,S0012,that 's ADJ - dd1,that 's true,true,A5:2,Evaluation:- True/false
S59W,28,S0012,that 's ADJ - dd1,that 's right,right,A5:3,Evaluation:- Accuracy
S59W,85,S0013,that 's ADJ - dd1,that 's hard,hard,O4:5,Texture
